n  ,algo   ,time                  ,comparisons
28 ,insert ,0.09799003601074219   ,        378
28 ,merge  ,0.03504753112792969   ,        102
28 ,hybrid ,0.028848648071289062  ,        109
29 ,insert ,0.102996826171875     ,        406
29 ,merge  ,0.03600120544433594   ,        111
29 ,hybrid ,0.030040740966796875  ,        117
30 ,insert ,0.10704994201660156   ,        435
30 ,merge  ,0.03695487976074219   ,        113
30 ,hybrid ,0.030040740966796875  ,        123
31 ,insert ,0.10991096496582031   ,        465
31 ,merge  ,0.03910064697265625   ,        120
31 ,hybrid ,0.033855438232421875  ,        129
32 ,insert ,0.12683868408203125   ,        496
32 ,merge  ,0.03814697265625      ,        122
32 ,hybrid ,0.031948089599609375  ,        132
33 ,insert ,0.11706352233886719   ,        528
33 ,merge  ,0.04220008850097656   ,        130
33 ,hybrid ,0.035762786865234375  ,        138
34 ,insert ,0.13208389282226562   ,        561
34 ,merge  ,0.0438690185546875    ,        137
34 ,hybrid ,0.03910064697265625   ,        144
35 ,insert ,0.13899803161621094   ,        595
35 ,merge  ,0.04482269287109375   ,        136
35 ,hybrid ,0.03910064697265625   ,        146
36 ,insert ,0.1430511474609375    ,        630
36 ,merge  ,0.04601478576660156   ,        144
36 ,hybrid ,0.04100799560546875   ,        149
37 ,insert ,0.15807151794433594   ,        666
37 ,merge  ,0.0476837158203125    ,        150
37 ,hybrid ,0.04220008850097656   ,        155
38 ,insert ,0.17499923706054688   ,        703
38 ,merge  ,0.050067901611328125  ,        152
38 ,hybrid ,0.0438690185546875    ,        159
39 ,insert ,0.19025802612304688   ,        741
39 ,merge  ,0.05078315734863281   ,        158
39 ,hybrid ,0.04506111145019531   ,        162
40 ,insert ,0.16999244689941406   ,        780
40 ,merge  ,0.05221366882324219   ,        156
40 ,hybrid ,0.0457763671875       ,        158
41 ,insert ,0.186920166015625     ,        820
41 ,merge  ,0.05412101745605469   ,        166
41 ,hybrid ,0.0476837158203125    ,        171
42 ,insert ,0.20503997802734375   ,        861
42 ,merge  ,0.05793571472167969   ,        177
42 ,hybrid ,0.049114227294921875  ,        181
43 ,insert ,0.20885467529296875   ,        903
43 ,merge  ,0.05817413330078125   ,        183
43 ,hybrid ,0.051021575927734375  ,        188
44 ,insert ,0.2319812774658203    ,        946
44 ,merge  ,0.05888938903808594   ,        191
44 ,hybrid ,0.052928924560546875  ,        196
45 ,insert ,0.23293495178222656   ,        990
45 ,merge  ,0.06079673767089844   ,        195
45 ,hybrid ,0.053882598876953125  ,        199
46 ,insert ,0.23126602172851562   ,       1035
46 ,merge  ,0.06175041198730469   ,        200
46 ,hybrid ,0.051975250244140625  ,        204
47 ,insert ,0.26988983154296875   ,       1081
47 ,merge  ,0.06413459777832031   ,        207
47 ,hybrid ,0.053882598876953125  ,        213
48 ,insert ,0.2429485321044922    ,       1128
48 ,merge  ,0.06413459777832031   ,        193
48 ,hybrid ,0.052928924560546875  ,        205
49 ,insert ,0.2899169921875       ,       1176
49 ,merge  ,0.0667572021484375    ,        215
49 ,hybrid ,0.05602836608886719   ,        222
 2 ,insert ,0.00095367431640625   ,          1
 2 ,merge  ,0.00095367431640625   ,          1
 2 ,hybrid ,0.0011920928955078125 ,          1
 3 ,insert ,0.00095367431640625   ,          3
 3 ,merge  ,0.0021457672119140625 ,          3
 3 ,hybrid ,0.00095367431640625   ,          3
 4 ,insert ,0.0030994415283203125 ,          6
 4 ,merge  ,0.0030994415283203125 ,          5
 4 ,hybrid ,0.0026226043701171875 ,          6
 5 ,insert ,0.0030994415283203125 ,         10
 5 ,merge  ,0.003814697265625     ,          6
 5 ,hybrid ,0.0030994415283203125 ,          6
 6 ,insert ,0.005245208740234375  ,         15
 6 ,merge  ,0.00476837158203125   ,         10
 6 ,hybrid ,0.0040531158447265625 ,         11
 7 ,insert ,0.008106231689453125  ,         21
 7 ,merge  ,0.0059604644775390625 ,         14
 7 ,hybrid ,0.0059604644775390625 ,         15
 8 ,insert ,0.007867813110351562  ,         28
 8 ,merge  ,0.0069141387939453125 ,         17
 8 ,hybrid ,0.006198883056640625  ,         19
